"日付","終値","始値","高値","安値","出来高","変化率 %"
"2015-06-25","32,000","30,266","32,000","29,020","0.00K","5.73%"
"2015-06-26","31,700","32,000","32,000","31,700","0.00K","-0.94%"
"2015-06-27","30,620","31,700","31,704","30,550","0.00K","-3.41%"
"2015-06-28","30,870","30,800","31,220","30,800","0.00K","0.82%"
"2015-06-29","31,550","30,870","31,550","30,870","0.00K","2.20%"
"2015-06-30","32,850","31,550","32,950","31,500","0.00K","4.12%"
"2015-07-01","31,960","32,850","32,850","31,770","0.00K","-2.71%"
"2015-07-02","31,720","31,790","32,420","31,500","0.00K","-0.75%"
"2015-07-03","31,790","31,720","32,020","31,500","0.00K","0.22%"
"2015-07-04","31,800","31,790","31,960","31,700","0.00K","0.03%"
"2015-07-05","32,950","31,800","33,340","31,800","0.03K","3.62%"
"2015-07-06","33,330","32,950","34,040","32,950","0.00K","1.15%"
"2015-07-07","33,340","34,000","34,000","33,200","0.01K","0.03%"
"2015-07-08","33,900","33,340","33,900","32,500","0.01K","1.68%"
"2015-07-09","34,080","33,900","34,530","33,415","0.01K","0.53%"
"2015-07-10","35,890","34,530","37,480","33,750","0.01K","5.31%"
"2015-07-11","36,000","35,890","36,860","35,890","0.00K","0.31%"
"2015-07-12","38,290","36,000","38,290","36,000","0.00K","6.36%"
"2015-07-13","35,000","60,000","62,000","34,900","0.01K","-8.59%"
"2015-07-14","36,000","36,150","38,000","35,600","0.00K","2.86%"
"2015-07-15","35,900","35,900","36,920","35,900","0.00K","-0.28%"
"2015-07-16","34,100","35,980","36,000","34,100","0.00K","-5.01%"
"2015-07-17","34,600","34,100","35,800","34,100","0.01K","1.47%"
"2015-07-18","34,500","34,600","34,800","34,500","0.00K","-0.29%"
"2015-07-19","34,600","34,500","34,800","34,310","0.01K","0.29%"
"2015-07-20","34,046","34,046","34,800","34,046","0.03K","-1.60%"
"2015-07-21","34,810","34,800","35,420","34,800","0.01K","2.24%"
"2015-07-22","34,930","34,810","35,080","34,410","0.02K","0.34%"
"2015-07-23","34,800","34,930","35,040","34,790","0.02K","-0.37%"
"2015-07-24","35,809","34,790","35,810","34,640","0.04K","2.90%"
"2015-07-25","36,020","35,809","36,450","35,640","0.08K","0.59%"
"2015-07-26","36,340","36,200","36,690","35,930","0.03K","0.89%"
"2015-07-27","36,000","36,340","36,610","35,650","0.09K","-0.94%"
"2015-07-28","36,550","36,520","36,820","36,450","0.18K","1.53%"
"2015-07-29","36,520","36,541","36,660","35,805","0.22K","-0.08%"
"2015-07-30","35,800","35,870","36,279","35,480","0.47K","-1.97%"
"2015-07-31","35,280","35,800","36,050","35,160","0.08K","-1.45%"
"2015-08-01","35,070","35,280","35,725","34,880","0.02K","-0.60%"
"2015-08-02","34,940","34,880","35,110","34,287","0.01K","-0.37%"
"2015-08-03","35,280","34,940","35,330","34,840","0.01K","0.97%"
"2015-08-04","35,250","35,280","35,710","35,170","0.01K","-0.09%"
"2015-08-05","35,310","35,250","35,880","35,250","0.02K","0.17%"
"2015-08-06","34,980","35,490","35,490","34,820","0.05K","-0.93%"
"2015-08-07","35,101","34,980","35,200","34,690","0.09K","0.35%"
"2015-08-08","32,950","35,200","35,200","32,950","0.12K","-6.13%"
"2015-08-09","33,180","32,950","33,430","32,550","0.03K","0.70%"
"2015-08-10","33,370","33,180","33,610","33,180","0.10K","0.57%"
"2015-08-11","33,740","33,370","33,740","33,060","0.13K","1.11%"
"2015-08-12","33,520","33,740","33,983","33,520","0.06K","-0.65%"
"2015-08-13","33,710","33,520","33,830","33,110","0.09K","0.57%"
"2015-08-14","33,350","33,710","33,710","33,270","0.05K","-1.07%"
"2015-08-15","33,119","33,350","33,710","33,119","0.10K","-0.69%"
"2015-08-16","32,750","33,119","33,119","32,310","0.05K","-1.11%"
"2015-08-17","32,331","32,750","32,750","32,250","0.03K","-1.28%"
"2015-08-18","31,520","32,458","32,458","31,500","0.10K","-2.51%"
"2015-08-19","29,530","31,520","31,520","28,500","0.22K","-6.31%"
"2015-08-20","29,600","28,500","29,720","28,500","0.11K","0.24%"
"2015-08-21","29,085","29,720","29,720","29,030","0.05K","-1.74%"
"2015-08-22","28,530","29,085","29,320","28,070","0.11K","-1.91%"
"2015-08-23","28,410","28,320","28,870","28,320","0.02K","-0.42%"
"2015-08-24","26,200","28,410","28,420","26,200","0.18K","-7.78%"
"2015-08-25","27,110","26,200","27,530","20,000","0.23K","3.47%"
"2015-08-26","27,500","27,110","28,490","27,100","0.12K","1.44%"
"2015-08-27","27,900","28,159","28,190","27,650","0.08K","1.45%"
"2015-08-28","28,770","27,710","28,870","27,391","0.13K","3.12%"
"2015-08-29","28,490","28,790","28,920","28,260","0.15K","-0.97%"
"2015-08-30","28,197","28,540","28,750","28,071","0.11K","-1.03%"
"2015-08-31","28,300","28,197","28,550","28,122","0.03K","0.37%"
"2015-09-01","28,000","28,550","28,630","28,000","0.01K","-1.06%"
"2015-09-02","28,210","28,000","28,210","27,890","0.02K","0.75%"
"2015-09-03","28,050","28,210","28,240","27,750","0.04K","-0.57%"
"2015-09-04","27,850","28,010","28,090","27,740","0.03K","-0.71%"
"2015-09-05","28,020","27,850","28,450","27,740","0.07K","0.61%"
"2015-09-06","29,000","28,140","29,400","28,140","0.07K","3.50%"
"2015-09-07","29,120","29,000","29,170","28,940","0.14K","0.41%"
"2015-09-08","29,518","29,033","29,580","28,940","0.56K","1.37%"
"2015-09-09","28,840","29,509","29,509","28,840","0.31K","-2.30%"
"2015-09-10","29,230","28,840","29,350","28,740","0.38K","1.35%"
"2015-09-11","29,362","29,230","29,500","29,209","0.28K","0.45%"
"2015-09-12","29,350","29,407","29,550","28,837","0.38K","-0.04%"
"2015-09-13","28,780","28,920","28,922","28,040","0.52K","-1.94%"
"2015-09-14","28,191","28,040","28,249","27,770","0.34K","-2.05%"
"2015-09-15","27,999","28,184","28,245","27,939","0.57K","-0.68%"
"2015-09-16","27,923","28,014","28,098","27,660","0.47K","-0.27%"
"2015-09-17","28,264","27,923","28,457","27,803","0.33K","1.22%"
"2015-09-18","28,261","28,264","28,394","28,050","0.69K","-0.01%"
"2015-09-19","28,031","28,218","28,218","27,765","0.26K","-0.81%"
"2015-09-20","27,897","27,900","28,031","27,835","0.26K","-0.48%"
"2015-09-21","27,440","28,001","28,008","27,329","0.51K","-1.64%"
"2015-09-22","27,762","27,329","28,000","27,220","0.44K","1.17%"
"2015-09-23","27,814","27,696","27,982","27,696","0.10K","0.19%"
"2015-09-24","27,861","27,861","28,393","27,812","0.33K","0.17%"
"2015-09-25","28,430","28,222","28,789","28,222","0.41K","2.04%"
"2015-09-26","28,410","28,450","28,476","28,260","0.27K","-0.07%"
"2015-09-27","28,434","28,476","28,505","28,280","0.24K","0.08%"
"2015-09-28","28,719","28,303","28,862","28,270","0.55K","1.00%"
"2015-09-29","28,790","28,779","28,900","28,639","0.69K","0.25%"
"2015-09-30","28,992","28,732","29,110","28,680","0.42K","0.70%"
"2015-10-01","28,920","28,992","29,153","28,800","0.52K","-0.25%"
"2015-10-02","29,137","29,002","29,180","28,890","0.58K","0.75%"
"2015-10-03","29,153","29,115","29,235","29,054","0.12K","0.05%"
"2015-10-04","29,050","29,080","29,140","28,930","0.34K","-0.35%"
"2015-10-05","29,081","28,980","29,250","28,935","0.43K","0.11%"
"2015-10-06","29,260","29,207","29,930","29,200","0.70K","0.62%"
"2015-10-07","29,661","29,846","29,902","29,619","0.52K","1.37%"
"2015-10-08","29,495","29,659","29,700","29,350","0.38K","-0.56%"
"2015-10-09","29,660","29,468","29,680","29,432","0.33K","0.56%"
"2015-10-10","29,583","29,617","29,700","29,460","0.26K","-0.26%"
"2015-10-11","30,180","29,615","30,180","29,550","0.65K","2.02%"
"2015-10-12","30,139","30,180","30,213","29,510","0.48K","-0.14%"
"2015-10-13","29,584","29,719","30,070","29,475","0.84K","-1.84%"
"2015-10-14","30,189","29,969","30,460","29,940","0.76K","2.05%"
"2015-10-15","30,201","30,388","30,670","30,180","1.23K","0.04%"
"2015-10-16","30,740","30,455","31,899","30,455","1.55K","1.78%"
"2015-10-17","32,020","31,364","32,840","31,364","2.88K","4.16%"
"2015-10-18","32,140","32,353","32,635","31,438","2.36K","0.37%"
"2015-10-19","31,496","31,467","31,886","31,400","1.82K","-2.00%"
"2015-10-20","32,034","31,760","32,574","31,650","0.97K","1.71%"
"2015-10-21","32,174","32,480","32,740","31,890","0.63K","0.44%"
"2015-10-22","32,526","32,219","33,253","32,135","0.67K","1.09%"
"2015-10-23","33,357","33,050","33,596","33,045","0.88K","2.55%"
"2015-10-24","34,110","33,596","34,157","33,589","0.93K","2.26%"
"2015-10-25","35,172","35,557","35,844","34,060","3.02K","3.11%"
"2015-10-26","34,570","34,990","35,071","34,015","1.32K","-1.71%"
"2015-10-27","35,698","34,704","35,856","34,643","1.72K","3.26%"
"2015-10-28","37,075","35,636","37,180","35,573","1.38K","3.86%"
"2015-10-29","37,780","36,800","38,175","36,660","3.45K","1.90%"
"2015-10-30","39,515","39,300","40,303","37,870","3.57K","4.59%"
"2015-10-31","37,980","39,515","40,360","37,315","1.82K","-3.88%"
"2015-11-01","38,601","38,197","38,804","37,280","1.20K","1.64%"
"2015-11-02","44,413","38,734","44,434","38,710","1.86K","15.06%"
"2015-11-03","48,763","44,413","50,000","43,420","2.83K","9.79%"
"2015-11-04","52,000","48,834","63,030","48,000","2.72K","6.64%"
"2015-11-05","51,290","52,000","57,595","46,000","1.53K","-1.37%"
"2015-11-06","46,881","47,887","50,000","44,630","1.49K","-8.60%"
"2015-11-07","47,571","46,532","49,412","46,333","0.87K","1.47%"
"2015-11-08","48,411","48,575","49,122","46,260","0.96K","1.77%"
"2015-11-09","47,820","46,916","48,740","45,673","1.11K","-1.22%"
"2015-11-10","47,915","47,604","48,210","41,080","1.93K","0.20%"
"2015-11-11","39,430","41,910","42,630","37,320","3.56K","-17.71%"
"2015-11-12","41,090","38,610","43,670","38,540","3.14K","4.21%"
"2015-11-13","41,010","41,923","42,710","40,660","2.19K","-0.19%"
"2015-11-14","41,580","42,010","42,261","41,000","1.13K","1.39%"
"2015-11-15","40,192","41,265","41,800","39,150","1.19K","-3.34%"
"2015-11-16","39,850","40,170","41,300","39,479","1.94K","-0.85%"
"2015-11-17","41,340","41,226","42,237","41,079","1.79K","3.74%"
"2015-11-18","41,400","41,350","41,880","40,760","1.32K","0.15%"
"2015-11-19","40,612","41,635","41,728","40,140","1.30K","-1.90%"
"2015-11-20","39,850","40,229","40,310","38,690","1.52K","-1.88%"
"2015-11-21","40,380","40,010","40,799","39,600","0.97K","1.33%"
"2015-11-22","40,223","40,560","40,731","39,802","0.81K","-0.39%"
"2015-11-23","40,016","40,239","40,500","39,720","1.11K","-0.51%"
"2015-11-24","39,290","39,884","40,120","39,290","1.03K","-1.81%"
"2015-11-25","40,599","39,360","40,609","38,854","2.02K","3.33%"
"2015-11-26","43,898","40,319","45,330","40,120","3.54K","8.13%"
"2015-11-27","43,520","43,520","44,720","42,700","1.78K","-0.86%"
"2015-11-28","43,862","44,382","44,392","43,130","1.88K","0.79%"
"2015-11-29","44,078","44,078","45,810","43,701","1.14K","0.49%"
"2015-11-30","46,050","45,722","47,300","45,440","1.82K","4.47%"
"2015-12-01","44,950","46,601","46,730","43,750","2.23K","-2.39%"
"2015-12-02","43,364","44,540","44,829","42,860","2.38K","-3.53%"
"2015-12-03","45,360","44,361","45,707","43,970","2.44K","4.60%"
"2015-12-04","44,250","44,310","44,930","43,510","1.15K","-2.45%"
"2015-12-05","45,750","44,591","47,952","44,591","2.09K","3.39%"
"2015-12-06","48,600","47,758","50,000","47,505","2.94K","6.23%"
"2015-12-07","49,250","48,777","49,720","47,504","2.18K","1.34%"
"2015-12-08","48,959","49,050","50,000","48,150","1.50K","-0.59%"
"2015-12-09","51,690","50,000","52,160","49,781","2.33K","5.58%"
"2015-12-10","50,499","50,800","51,336","50,000","1.55K","-2.30%"
"2015-12-11","52,820","52,820","54,899","50,460","2.06K","4.60%"
"2015-12-12","51,660","54,568","57,280","49,786","3.90K","-2.20%"
"2015-12-13","53,244","52,870","53,500","51,410","1.88K","3.07%"
"2015-12-14","54,053","52,550","54,220","51,720","1.43K","1.52%"
"2015-12-15","56,188","53,618","56,840","53,618","1.46K","3.95%"
"2015-12-16","55,981","56,510","56,760","54,080","2.38K","-0.37%"
"2015-12-17","55,740","55,759","56,098","55,102","0.77K","-0.43%"
"2015-12-18","56,140","55,850","56,847","55,500","2.06K","0.72%"
"2015-12-19","56,101","56,260","56,715","55,500","1.79K","-0.07%"
"2015-12-20","52,676","55,927","56,155","52,620","2.81K","-6.11%"
"2015-12-21","52,761","52,002","53,969","51,500","3.09K","0.16%"
"2015-12-22","52,912","53,037","53,720","52,715","1.91K","0.29%"
"2015-12-23","53,480","52,912","53,746","52,798","1.37K","1.07%"
"2015-12-24","54,961","54,670","55,308","53,360","1.84K","2.77%"
"2015-12-25","55,188","55,188","55,480","54,293","1.50K","0.41%"
"2015-12-26","50,570","55,043","55,176","49,804","3.78K","-8.37%"
"2015-12-27","51,250","50,340","51,623","49,695","2.33K","1.34%"
"2015-12-28","52,160","51,250","52,304","50,570","3.78K","1.78%"
"2015-12-29","50,890","50,940","51,999","50,590","1.25K","-2.43%"
"2015-12-30","52,118","51,760","52,280","50,870","1.57K","2.41%"
"2015-12-31","51,052","51,000","52,190","50,130","1.46K","-2.05%"
"2016-01-01","52,320","51,840","52,480","51,420","1.76K","2.48%"
"2016-01-02","52,138","52,081","52,469","51,928","1.31K","-0.35%"
"2016-01-03","51,782","52,131","52,210","50,854","1.67K","-0.68%"
"2016-01-04","51,530","51,310","51,990","51,190","1.51K","-0.49%"
"2016-01-05","51,800","51,766","52,048","51,147","1.42K","0.52%"
"2016-01-06","51,175","51,560","51,799","50,639","1.32K","-1.21%"
"2016-01-07","53,526","51,340","54,019","50,941","2.39K","4.59%"
"2016-01-08","53,617","53,617","54,941","52,806","1.71K","0.17%"
"2016-01-09","52,880","53,960","53,969","52,573","1.30K","-1.37%"
"2016-01-10","52,560","52,901","53,029","51,826","1.26K","-0.61%"
"2016-01-11","52,555","52,095","52,970","52,039","1.82K","-0.01%"
"2016-01-12","52,560","52,877","52,920","52,410","1.61K","0.01%"
"2016-01-13","50,971","52,520","52,549","50,096","2.48K","-3.02%"
"2016-01-14","50,916","51,118","51,550","50,626","2.69K","-0.11%"
"2016-01-15","46,650","48,166","51,089","42,960","4.70K","-8.38%"
"2016-01-16","43,560","43,683","45,624","41,294","5.19K","-6.62%"
"2016-01-17","44,722","45,569","46,500","44,502","3.42K","2.67%"
"2016-01-18","45,703","44,722","45,950","44,150","2.16K","2.19%"
"2016-01-19","45,174","45,512","46,099","45,000","3.17K","-1.16%"
"2016-01-20","48,724","49,129","50,010","44,700","5.04K","7.86%"
"2016-01-21","48,430","48,724","50,007","48,000","4.73K","-0.60%"
"2016-01-22","45,011","46,924","48,633","44,670","3.76K","-7.06%"
"2016-01-23","45,887","46,688","47,159","45,310","3.34K","1.95%"
"2016-01-24","48,067","46,533","48,330","46,060","2.23K","4.75%"
"2016-01-25","46,681","48,083","48,215","46,100","2.65K","-2.88%"
"2016-01-26","46,350","46,700","47,510","46,290","2.30K","-0.71%"
"2016-01-27","46,938","46,350","47,120","46,322","1.97K","1.27%"
"2016-01-28","45,241","46,938","46,988","44,932","1.99K","-3.62%"
"2016-01-29","46,094","45,370","46,917","43,820","3.10K","1.89%"
"2016-01-30","46,081","46,306","46,690","45,883","1.72K","-0.03%"
"2016-01-31","45,120","46,081","46,480","45,000","1.19K","-2.09%"
"2016-02-01","45,265","45,120","45,960","44,629","1.87K","0.32%"
"2016-02-02","45,030","45,265","45,557","45,030","0.98K","-0.52%"
"2016-02-03","44,160","45,030","45,540","44,000","2.81K","-1.93%"
"2016-02-04","46,345","44,160","46,386","44,160","2.28K","4.95%"
"2016-02-05","45,513","46,345","46,362","45,319","2.08K","-1.80%"
"2016-02-06","44,460","45,450","45,589","43,930","2.04K","-2.31%"
"2016-02-07","44,468","44,460","44,952","44,161","0.74K","0.02%"
"2016-02-08","43,901","44,468","44,869","43,880","1.36K","-1.28%"
"2016-02-09","43,840","43,915","44,161","43,311","1.51K","-0.14%"
"2016-02-10","44,040","43,893","44,929","43,610","1.79K","0.46%"
"2016-02-11","43,199","44,040","44,071","42,761","1.20K","-1.91%"
"2016-02-12","44,044","43,199","44,100","43,172","1.27K","1.96%"
"2016-02-13","44,739","44,044","44,988","44,034","1.25K","1.58%"
"2016-02-14","46,104","45,276","46,110","45,044","2.33K","3.05%"
"2016-02-15","45,905","46,104","46,650","45,450","2.76K","-0.43%"
"2016-02-16","46,650","45,905","46,699","45,783","2.24K","1.62%"
"2016-02-17","48,020","46,650","48,411","46,530","3.08K","2.94%"
"2016-02-18","48,644","48,020","49,290","47,837","3.33K","1.30%"
"2016-02-19","48,080","48,644","48,660","47,740","3.17K","-1.16%"
"2016-02-20","50,320","48,080","50,391","48,053","4.23K","4.66%"
"2016-02-21","50,020","50,320","51,148","48,700","4.76K","-0.60%"
"2016-02-22","50,189","50,020","50,797","49,450","2.72K","0.34%"
"2016-02-23","47,850","50,205","50,339","47,280","3.67K","-4.66%"
"2016-02-24","47,846","47,850","48,220","46,730","1.53K","-0.01%"
"2016-02-25","48,390","47,846","48,460","47,580","1.21K","1.14%"
"2016-02-26","49,531","48,390","49,531","47,840","1.47K","2.36%"
"2016-02-27","49,702","49,531","50,188","49,481","0.82K","0.35%"
"2016-02-28","49,690","49,702","50,200","48,590","1.17K","-0.02%"
"2016-02-29","49,926","49,690","50,439","49,411","2.40K","0.47%"
"2016-03-01","49,910","49,969","50,199","49,082","2.23K","-0.03%"
"2016-03-02","48,861","49,910","50,120","48,797","2.42K","-2.10%"
"2016-03-03","48,448","48,861","48,998","48,135","4.62K","-0.85%"
"2016-03-04","47,250","48,448","48,870","47,042","4.82K","-2.47%"
"2016-03-05","45,880","47,250","47,320","45,052","5.49K","-2.90%"
"2016-03-06","46,840","45,880","47,417","45,300","3.09K","2.09%"
"2016-03-07","47,633","46,840","47,720","46,580","2.56K","1.69%"
"2016-03-08","47,128","47,633","47,678","46,760","3.02K","-1.06%"
"2016-03-09","47,239","47,128","47,480","46,670","2.76K","0.24%"
"2016-03-10","47,481","47,270","47,580","46,950","2.82K","0.51%"
"2016-03-11","47,989","47,481","48,329","47,101","3.71K","1.07%"
"2016-03-12","46,810","47,989","48,050","46,549","3.81K","-2.46%"
"2016-03-13","47,260","46,810","47,579","46,740","2.60K","0.96%"
"2016-03-14","47,730","47,260","47,810","47,211","2.71K","0.99%"
"2016-03-15","47,699","47,730","47,926","47,338","2.87K","-0.06%"
"2016-03-16","47,711","47,699","47,889","47,470","3.41K","0.03%"
"2016-03-17","47,381","47,711","47,830","47,201","2.74K","-0.69%"
"2016-03-18","46,218","47,381","47,460","45,661","4.24K","-2.45%"
"2016-03-19","46,327","46,218","46,380","45,846","3.39K","0.24%"
"2016-03-20","46,677","46,327","46,760","46,201","2.77K","0.76%"
"2016-03-21","46,669","46,677","46,729","46,060","2.69K","-0.02%"
"2016-03-22","47,249","46,669","47,310","46,521","3.39K","1.24%"
"2016-03-23","47,388","47,249","47,662","47,202","3.54K","0.29%"
"2016-03-24","47,550","47,388","47,711","47,192","3.10K","0.34%"
"2016-03-25","47,759","47,550","47,859","47,410","2.69K","0.44%"
"2016-03-26","47,797","47,759","47,951","47,577","2.01K","0.08%"
"2016-03-27","48,948","47,797","49,080","47,700","3.02K","2.41%"
"2016-03-28","48,822","48,948","49,152","48,624","2.56K","-0.26%"
"2016-03-29","47,750","48,822","49,099","47,010","3.72K","-2.20%"
"2016-03-30","47,710","47,750","47,849","47,000","5.16K","-0.08%"
"2016-03-31","47,470","47,710","48,230","47,201","3.60K","-0.50%"
"2016-04-01","47,461","47,470","47,800","47,284","3.15K","-0.02%"
"2016-04-02","47,775","47,573","48,177","47,467","3.27K","0.66%"
"2016-04-03","47,762","47,775","47,896","47,644","5.38K","-0.03%"
"2016-04-04","47,475","47,762","47,814","47,413","6.87K","-0.60%"
"2016-04-05","47,556","47,475","47,620","47,170","4.80K","0.17%"
"2016-04-06","47,201","47,556","47,729","47,120","7.58K","-0.75%"
"2016-04-07","46,526","47,201","47,213","46,500","5.64K","-1.43%"
"2016-04-08","46,234","46,526","47,087","45,960","7.95K","-0.63%"
"2016-04-09","46,066","46,234","46,290","45,523","3.87K","-0.36%"
"2016-04-10","46,185","46,066","46,460","45,954","3.53K","0.26%"
"2016-04-11","45,988","46,185","46,460","45,900","7.42K","-0.43%"
"2016-04-12","46,719","45,988","46,840","45,980","7.10K","1.59%"
"2016-04-13","46,583","46,719","46,830","46,280","6.82K","-0.29%"
"2016-04-14","46,544","46,583","46,679","46,398","4.99K","-0.08%"
"2016-04-15","47,040","46,544","47,170","46,411","5.49K","1.07%"
"2016-04-16","47,141","47,040","47,261","46,922","7.91K","0.21%"
"2016-04-17","46,850","47,141","47,220","46,370","8.38K","-0.62%"
"2016-04-18","46,832","46,850","46,880","46,496","7.70K","-0.04%"
"2016-04-19","47,630","46,832","47,692","46,604","6.88K","1.70%"
"2016-04-20","48,291","47,630","48,680","47,152","8.21K","1.39%"
"2016-04-21","49,245","48,291","49,350","48,240","8.09K","1.98%"
"2016-04-22","49,803","49,245","50,033","48,747","9.28K","1.13%"
"2016-04-23","50,284","49,803","50,460","49,605","9.40K","0.97%"
"2016-04-24","51,502","50,284","51,759","50,201","8.62K","2.42%"
"2016-04-25","51,385","51,502","51,868","50,480","18.78K","-0.23%"
"2016-04-26","51,840","51,385","52,240","51,140","7.91K","0.89%"
"2016-04-27","50,430","51,840","52,040","50,050","12.21K","-2.72%"
"2016-04-28","49,270","50,231","50,261","48,123","12.42K","-2.30%"
"2016-04-29","49,179","49,270","49,339","48,535","3.68K","-0.18%"
"2016-04-30","47,769","49,179","49,224","47,662","25.99K","-2.87%"
"2016-05-01","48,322","47,769","48,582","47,760","28.78K","1.16%"
"2016-05-02","47,824","48,322","48,574","46,880","30.58K","-1.03%"
"2016-05-03","48,627","47,824","48,667","47,233","34.09K","1.68%"
"2016-05-04","48,052","48,627","48,627","47,921","29.19K","-1.18%"
"2016-05-05","48,389","48,052","48,546","48,015","15.90K","0.70%"
"2016-05-06","49,470","48,389","49,600","48,093","9.00K","2.23%"
"2016-05-07","49,359","49,372","49,569","48,985","5.23K","-0.22%"
"2016-05-08","49,256","49,359","49,385","48,774","4.19K","-0.21%"
"2016-05-09","49,759","49,256","50,169","49,058","4.61K","1.02%"
"2016-05-10","49,080","49,759","50,199","48,800","6.67K","-1.36%"
"2016-05-11","49,135","49,080","49,560","48,946","6.67K","0.11%"
"2016-05-12","49,667","49,135","49,835","48,790","7.46K","1.08%"
"2016-05-13","49,669","49,667","50,037","49,322","5.65K","0.00%"
"2016-05-14","49,671","49,669","49,844","49,455","4.14K","0.00%"
"2016-05-15","49,642","49,671","49,879","49,511","5.66K","-0.06%"
"2016-05-16","49,559","49,642","49,942","49,180","8.34K","-0.17%"
"2016-05-17","49,346","49,559","49,679","49,305","5.68K","-0.43%"
"2016-05-18","49,625","49,359","49,833","49,270","14.11K","0.57%"
"2016-05-19","48,549","49,615","49,846","48,549","11.21K","-2.17%"
"2016-05-20","48,736","48,549","49,027","47,900","8.37K","0.39%"
"2016-05-21","48,801","48,736","48,850","48,510","6.76K","0.13%"
"2016-05-22","48,380","48,801","48,880","48,200","11.54K","-0.86%"
"2016-05-23","48,614","48,380","48,772","48,191","6.01K","0.48%"
"2016-05-24","49,113","48,614","49,240","48,595","3.91K","1.03%"
"2016-05-25","49,519","49,113","49,755","49,033","10.88K","0.83%"
"2016-05-26","49,906","49,519","50,098","49,180","8.97K","0.78%"
"2016-05-27","52,550","49,904","52,979","49,904","17.11K","5.30%"
"2016-05-28","59,441","52,550","60,081","52,297","23.92K","13.11%"
"2016-05-29","58,680","59,441","61,960","57,325","27.55K","-1.28%"
"2016-05-30","59,858","58,680","61,230","58,540","21.42K","2.01%"
"2016-05-31","59,600","59,858","61,195","57,894","21.81K","-0.43%"
"2016-06-01","59,811","59,600","60,100","58,421","13.48K","0.35%"
"2016-06-02","59,184","59,811","60,049","58,600","13.02K","-1.05%"
"2016-06-03","61,146","59,184","61,732","58,960","14.54K","3.32%"
"2016-06-04","61,277","61,146","63,150","60,343","13.48K","0.21%"
"2016-06-05","61,696","61,277","62,560","60,921","11.67K","0.68%"
"2016-06-06","63,042","61,650","63,191","61,525","11.50K","2.18%"
"2016-06-07","62,527","63,042","63,760","61,140","12.91K","-0.82%"
"2016-06-08","62,695","62,439","62,747","61,418","10.14K","0.27%"
"2016-06-09","61,926","62,695","62,871","61,400","10.52K","-1.23%"
"2016-06-10","62,304","61,926","62,515","61,673","13.73K","0.61%"
"2016-06-11","63,924","62,304","64,149","62,169","15.92K","2.60%"
"2016-06-12","71,762","63,924","73,722","63,910","36.03K","12.26%"
"2016-06-13","75,573","71,762","77,013","71,705","25.21K","5.31%"
"2016-06-14","74,117","75,573","75,850","71,735","16.38K","-1.93%"
"2016-06-15","74,315","74,117","74,742","72,472","12.70K","0.27%"
"2016-06-16","81,921","74,315","82,703","74,259","24.40K","10.23%"
"2016-06-17","79,855","81,921","82,982","77,231","15.90K","-2.52%"
"2016-06-18","80,361","79,855","82,590","78,500","9.03K","0.63%"
"2016-06-19","80,766","80,220","81,318","79,012","7.36K","0.50%"
"2016-06-20","78,260","80,766","81,054","77,407","10.79K","-3.10%"
"2016-06-21","69,945","78,260","78,260","65,100","19.47K","-10.62%"
"2016-06-22","62,693","69,945","72,011","62,041","29.23K","-10.37%"
"2016-06-23","66,749","62,693","68,519","57,849","25.93K","6.47%"
"2016-06-24","68,610","66,749","70,770","66,301","16.53K","2.79%"
"2016-06-25","68,901","68,610","72,128","66,789","6.47K","0.42%"
"2016-06-26","64,696","68,901","69,089","62,942","8.50K","-6.10%"
"2016-06-27","66,122","64,696","66,989","63,690","11.96K","2.20%"
"2016-06-28","66,969","66,122","67,721","65,504","10.50K","1.28%"
"2016-06-29","66,590","66,969","67,153","65,010","8.51K","-0.57%"
"2016-06-30","70,056","66,590","70,535","65,992","9.33K","5.20%"
"2016-07-01","70,545","70,056","71,860","69,515","9.87K","0.70%"
"2016-07-02","73,297","70,545","73,456","70,196","12.08K","3.90%"
"2016-07-03","68,815","73,297","73,602","66,655","17.38K","-6.11%"
"2016-07-04","70,834","68,815","70,950","67,150","10.49K","2.93%"
"2016-07-05","68,776","70,834","71,388","67,964","19.75K","-2.91%"
"2016-07-06","68,820","68,979","69,740","67,910","41.47K","0.06%"
"2016-07-07","64,766","68,820","69,440","61,901","62.42K","-5.89%"
"2016-07-08","67,329","64,766","67,529","63,818","61.70K","3.96%"
"2016-07-09","66,001","67,329","67,621","63,674","76.92K","-1.97%"
"2016-07-10","65,355","65,979","66,079","64,500","62.62K","-0.98%"
"2016-07-11","66,382","65,355","66,634","65,192","47.87K","1.57%"
"2016-07-12","70,473","66,382","70,721","66,212","41.80K","6.16%"
"2016-07-13","68,841","70,473","70,475","68,293","53.47K","-2.32%"
"2016-07-14","69,312","68,841","70,000","67,744","25.79K","0.68%"
"2016-07-15","69,743","69,312","70,555","69,185","27.55K","0.62%"
"2016-07-16","69,798","69,743","70,219","69,273","20.16K","0.08%"
"2016-07-17","71,649","69,798","72,000","69,728","24.29K","2.65%"
"2016-07-18","71,395","71,649","72,299","70,640","21.35K","-0.35%"
"2016-07-19","71,619","71,395","71,700","70,735","19.64K","0.31%"
"2016-07-20","71,289","71,619","71,740","70,858","23.56K","-0.46%"
"2016-07-21","70,553","71,289","71,389","70,096","22.98K","-1.03%"
"2016-07-22","69,095","70,553","70,846","68,520","23.93K","-2.07%"
